Date,Description,Categorie,Montant,Solde
2020-02-03,Ikea,Ameublemento,-6.44,529.23
2020-02-03,Ikea,Ameublemento,-6.44,529.23
2020-01-31,Virement d'un autre compte,Transfert,-10,535.67
2020-01-31,Ikea,Ameublemento,-12,545.67
2020-01-31,Virement Interac,Transfert,-1025,557.67
2020-01-29,Ikea,Ameublemento,-6.44,1582.67
2020-01-27,Marche Royal,Épicerie,-7.44,1589.11
2020-01-27,Virement Interac,Transfert,-120,1596.55
2020-01-27,Virement Interac,Transfert,452.5,1716.55
2020-01-27,Desjardins Assurance Generales,Finances,-36.13,1264.05
2020-01-27,Marche Royal,Épicerie,-11.97,1300.18
2020-01-27,Ikea,Ameublemento,-4,1312.15
2020-01-24,Ikea,Ameublemento,-1.47,1316.15
2020-01-24,Ikea,Ameublemento,-4,1317.62
2020-01-24,Ikea,Ameublemento,911.89,1321.62
2020-01-23,Ikea,Ameublemento,-4,409.73
2020-01-22,Ikea,Ameublemento,-3.91,413.73
2020-01-22,Internet paiement facture,Factures et services,-283.75,417.64
2020-01-21,Marche Royal,Épicerie,-24.26,701.39
2020-01-20,Marche Royal,Épicerie,-19.13,725.65
2020-01-20,Retrait au guichet,Argent comptant,-300,744.78
2020-01-20,Retrait au guichet,Argent comptant,-300,744.78
2020-01-20,Retrait au guichet,Argent comptant,-300,744.78
2020-01-20,Retrait au guichet,Argent comptant,-300,744.78
2020-01-17,Frais fixes,Frais,-14.95,1044.78
2020-01-17,Communauto,Non categorise,-92.25,1059.73
2020-01-17,Ikea,Ameublemento,-4,1151.98
2020-01-16,Marche Royal,Épicerie,-18.9,1155.98
2020-01-16,Ikea,Ameublemento,-71.31,1174.88
2020-01-16,Ikea,Ameublemento,-6.44,1246.19
2020-01-16,BNI,Finances,-50,1252.63
2020-01-16,BNI,Finances,-50,1252.63
2020-01-15,Usat_td,Non categorise,-1.25,1302.63
2020-01-14,Vrac En Folie,Épicerie,-7.12,1303.88
2020-01-14,Starbucks,Cafes,-5.34,1311.00
2020-01-16,BNI,Finances,-50,1252.63
2020-01-10,Usat_td,Non categorise,-1.25,1316.34
2020-01-10,Ikea,Ameublemento,-4,1317.59
2020-01-10,Internet paiement facture,Factures et services,-600,1321.59
2020-01-10,Ikea,Ameublemento,1179.94,1921.59
2020-01-09,Internet paiement facture,Factures et services,-155.76,741.65
2020-01-09,Pizzeria Be,Restaurant,-35.35,897.41
2020-01-09,Marche Royal,Épicerie,-10.34,932.76
2020-01-09,The UPS Store,Frais de livraison,-2.58,943.10
2020-01-08,Casse Croute,Restaurants,-27,945.68
2020-01-07,Paiement autorise sur marge de credit,Transfert,-22.68,972.68
2020-01-07,PayPal Transfer,Transfert,-12.65,995.36
2020-01-07,Pharmaprix,Pharmacie,-24.12,1008.01
2020-01-03,Canada,Revenus,110.75,1032.13
2020-01-03,Gouv. Quebec,Taxes,71.58,921.38
2020-01-02,Ikea,Ameublemento,-3.91,849.80
2020-01-02,Virement Interac,Transfert,450.0,853.71
2020-01-02,Virement Interac,Transfert,-865,403.71
2019-12-31,Virement d'un autre compte,Transfert,-10,1268.71
2019-12-31,Ikea,Ameublemento,-6.44,1278.71
2019-12-31,Usat_td,Non categorise,-1.25,1285.15
2019-12-30,Ikea,Ameublemento,-12,1286.40
2019-12-30,Dollarama,Magasinage,-3.45,1298.40
2019-12-30,Marche Royal,Épicerie,-12.04,1301.85
2019-12-27,Ikea,Ameublemento,-7.22,1313.89
2019-12-27,Desjardins Assurance Generales,Finances,-38.51,1321.11
2019-12-27,Ikea,Ameublemento,587.47,1359.62
2019-12-27,Internet paiement facture,Factures et services,-300,772.15
2019-12-27,Internet paiement facture,Factures et services,-119.15,1072.15
2019-12-24,Ikea,Ameublemento,-4,1191.30
2019-12-20,Ikea,Ameublemento,-4,1195.30
2019-12-18,Ikea,Ameublemento,-3.91,1199.30
2019-12-18,Ikea,Ameublemento,-4,1203.21
2019-12-17,Frais fixes,Frais,-14.95,1207.21
2019-12-17,BNI,Finances,-50,1222.16
2019-12-16,Communauto,Non categorise,-92.25,1272.16
2019-12-16,Bottes Et Baske,Non categorise,-37.94,1364.41
2019-12-16,Lozeau,Non categorise,-34.49,1402.35
2019-12-16,SAQ,Bar et alcool,-16,1436.84
2019-12-16,Marche Royal,Épicerie,-7.98,1452.84
2019-12-16,Virement Interac,Transfert,-130,1460.82
2019-12-13,Ikea,Ameublemento,1028.18,1590.82
2019-12-12,Internet paiement facture,Factures et services,-425.92,562.64
2019-12-12,UQAM,Revenus,326.94,988.56
2019-12-11,Marche Royal,Épicerie,-4.99,661.62
2019-12-11,Internet paiement facture,Factures et services,-98.26,666.61
2019-12-10,Ikea,Ameublemento,-4,764.87
2019-12-09,Paiement autorise sur marge de credit,Transfert,-23.38,768.87
2019-12-09,Pharmaprix,Pharmacie,-12.13,792.25
2019-12-09,The Home Depot,Renovations,25.14,804.38
2019-12-09,Ikea,Ameublemento,-4,779.24
2019-12-09,Marche Royal,Épicerie,-3.99,783.24
2019-12-09,Petite Italie,Nourriture et boisson,-5.4,787.23
2019-12-06,Salon,Salon de coiffure,-3.39,792.63
2019-12-05,Casse Croute,Non categorise,-20.4,796.02
2019-12-05,PayPal Transfer,Transfert,-12.65,816.42
2019-12-05,The Home Depot,Renovations,-58.33,829.07
2019-12-05,Gouv. Quebec,Taxes,71.58,887.40
2019-12-02,Virement d'un autre compte,Transfert,-10,815.82
2019-12-02,Virement Interac,Transfert,-733,825.82
2019-12-02,Virement Interac,Transfert,-865,1558.82
2019-11-29,Virement Interac,Transfert,70.0,2423.82
2019-11-29,Internet paiement facture,Factures et services,-200,2353.82
2019-11-29,Ikea,Ameublemento,797.87,2553.82
2019-11-28,Casse Croute,Non categorise,-23.3,1755.95
2019-11-28,Jean Coutu,Pharmacie,-9.18,1779.25
2019-11-28,Cafe Des Arts,Nourriture et boisson,-2.26,1788.43
