Date,Description,Categorie,Montant,Solde
2020-02-03,Ikea,Revenu,6.44,529
2020-02-03,Frais interet,Frais,19.96,
2020-02-01,B And M Restaurant Montreal,Restaurants,41.65,
2020-01-31,Virement Interac,Transfert,1025,558
2020-01-31,Virement d'un autre compte,Transfert,10,536
2020-01-31,Virement d'un autre compte,Transfert,-10,248
2020-01-31,Ikea,Revenu,12,546
2020-01-30,Web Courses 4029357733 Ny,Non categorise,39.7,
2020-01-30,Petro Canada,Carburant et essence,50,
2020-01-30,Ikea,Revenu,9.49,
2020-01-29,Ikea,Revenu,6.44,1583
2020-01-27,Virement Interac,Transfert,120,1597
2020-01-27,Virement Interac,Transfert,-452.5,1717
2020-01-27,Marche Royal,Épicerie,7.44,1589
2020-01-27,Marche Royal,Épicerie,11.97,1300
2020-01-27,Ikea,Revenu,4,1312
2020-01-27,Desjardins Assurance Generales,Finances,36.13,1264
2020-01-24,Ikea,Revenu,4,1318
2020-01-24,Ikea,Revenu,1.47,1316
2020-01-24,Ikea,Ameublement,-911.89,1322
2020-01-23,Ikea,Revenu,4,410
2020-01-23,Communauto Web Montreal,Non categorise,0.4,
2020-01-22,Internet paiement facture,Factures et services,283.75,418
2020-01-22,Ikea,Revenu,3.91,414
2020-01-21,Marche Royal,Épicerie,24.26,701
2020-01-20,Retrait au guichet,Argent comptant,300,745
2020-01-20,Marche Royal,Épicerie,19.13,726
2020-01-19,Petite Italie Montreal,Non categorise,15.25,
2020-01-19,Domino's Pizza,Restauration rapide,38.95,
2020-01-17,Paiement des interets,Revenu d'interets,-0.02,238
2020-01-17,Ikea,Revenu,4,1152
2020-01-17,Frais fixes,Frais,14.95,1045
2020-01-17,Communauto,Non categorise,92.25,1060
2020-01-16,Marche Royal,Épicerie,18.9,1156
2020-01-16,Ikea,Revenu,71.31,1175
2020-01-16,Ikea,Revenu,6.44,1246
2020-01-16,BNI,Finances,50,1253
2020-01-15,Usat_td,Non categorise,1.25,1303
2020-01-14,Vrac En Folie,Épicerie,7.12,1304
2020-01-14,Starbucks,Cafes,5.34,1311
2020-01-14,Paddle,Non categorise,39.27,
2020-01-14,Gare Centrale de Montreal,Transport en commun,7.25,
2020-01-11,Ikea,Revenu,4,
2020-01-10,Usat_td,Non categorise,1.25,1316
2020-01-10,Paiement recu merci!,Transfert,-600,
2020-01-10,Internet paiement facture,Factures et services,600,1322
2020-01-10,Ikea,Revenu,4,1318
2020-01-10,Ikea,Ameublement,-1179.94,1922
2020-01-09,The UPS Store,Frais de livraison,2.58,943
2020-01-09,Pizzeria Be,Restaurant,35.35,897
2020-01-09,Marche Royal,Épicerie,10.34,933
2020-01-09,Internet paiement facture,Factures et services,155.76,742
2020-01-08,Casse Croute,Restaurants,27,946
2020-01-08,Bandcamp 4029357733 Ca,Non categorise,5.41,
2020-01-07,Pharmaprix,Pharmacie,24.12,1008
2020-01-07,PayPal Transfer,Transfert,12.65,995
2020-01-07,Paiement autorise sur marge de credit,Transfert,22.68,973
2020-01-05,Ikea,Revenu,4,
2020-01-03,Gouv. Quebec,Taxes,-71.58,921
2020-01-03,Canada,Revenus,-110.75,1032
2020-01-02,Virement Interac,Transfert,865,404
2020-01-02,Virement Interac,Transfert,-450,854
2020-01-02,Ikea,Revenu,3.91,850
2019-12-31,Virement d'un autre compte,Transfert,10,1269
2019-12-31,Virement d'un autre compte,Transfert,-10,238
2019-12-31,Usat_td,Non categorise,1.25,1285
2019-12-31,Ikea,Revenu,6.44,1279
2019-12-30,Marche Royal,Épicerie,12.04,1302
2019-12-30,Ikea,Revenu,12,1286
2019-12-30,Dollarama,Magasinage,3.45,1298
2019-12-27,Internet paiement facture,Factures et services,300,772
2019-12-27,Internet paiement facture,Factures et services,119.15,1072
2019-12-27,Ikea,Revenu,7.22,1314
2019-12-27,Ikea,Ameublement,-587.47,1360
2019-12-27,Desjardins Assurance Generales,Finances,38.51,1321
2019-12-24,Ikea,Revenu,4,1191
2019-12-20,Ikea,Revenu,4,1195
2019-12-18,Ikea,Revenu,4,1203
2019-12-18,Ikea,Revenu,3.91,1199
2019-12-17,Paiement des interets,Revenu d'interets,-0.02,228
2019-12-17,Frais fixes,Frais,14.95,1207
2019-12-17,BNI,Finances,50,1222
2019-12-16,Virement Interac,Transfert,130,1461
2019-12-16,SAQ,Bar et alcool,16,1437
2019-12-16,Marche Royal,Épicerie,7.98,1453
2019-12-16,Lozeau,Non categorise,34.49,1402
2019-12-16,Communauto,Non categorise,92.25,1272
2019-12-16,Bottes Et Baske,Non categorise,37.94,1364
2019-12-13,Ikea,Ameublement,-1028.18,1591
2019-12-12,UQAM,Revenus,-326.94,989
